Model,num_jobs,num_tools,magazine_capacity,time
SSPMF,9,15,5,4.976289200000001
SSPMF,9,15,10,3.6016413999999997
SSPMF,9,20,5,2.5523960000000003
SSPMF,9,20,10,8.791011800000001
SSPMF,9,20,15,0.23656639999999998
SSPMF,9,25,5,1.30267
SSPMF,9,25,10,10.8362478
SSPMF,9,25,15,9.2343228
SSPMF,9,25,20,1.2655055999999998
JGSMF,9,15,5,1.6730260000000001
JGSMF,9,15,10,0.8153624
JGSMF,9,20,5,5.2703556
JGSMF,9,20,10,9.0578534
JGSMF,9,20,15,0.6529773999999999
JGSMF,9,25,5,1.7253314
JGSMF,9,25,10,15.921506399999998
JGSMF,9,25,15,3.711027
JGSMF,9,25,20,0.9708462000000001
